Geneid	SRR9106183	SRR9106184	SRR9106185	SRR9106186	SRR9106187	SRR9106188	SRR9106189	SRR9106190	SRR9106191	SRR9106192	SRR9106193	SRR9106194	SRR9106195	SRR9106196	SRR9106197	SRR9106198	SRR9106199	SRR9106200	SRR9106201	SRR9106202	SRR9106203	SRR9106204	SRR9106205	SRR9106206	SRR9106207	SRR9106208	SRR9106209	SRR9106210	SRR9106211	SRR9106212	SRR9106213	SRR9106214	SRR9106215	SRR9106216	SRR9106217	SRR9106218	SRR9106219	SRR9106220	SRR9106221	SRR9106222	SRR9106223	SRR9106224	SRR9106225	SRR9106226	SRR9106227	SRR9106228	SRR9106229	SRR9106230	SRR9106231	SRR9106232	SRR9106233	SRR9106234	SRR9106235	SRR9106236	SRR9106237	SRR9106238	SRR9106239	SRR9106240	SRR9106241	SRR9106242	SRR9106243	SRR9106244	SRR9106245	SRR9106246	SRR9106247	SRR9106248	SRR9106249	SRR9106250	SRR9106251	SRR9106252	SRR9106253	SRR9106254	SRR9106255
TRINITY_DN0_c0_g1_i2.p2	14	20	7	16	5	10	14	5	3	13	10	11	9	26	24	16	18	2	4	13	4	5	0	6	5	0	29	20	20	22	9	8	11	9	2	66	70	69	4	16	6	7	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
TRINITY_DN0_c0_g1_i3.p3	7	4	8	8	3	6	6	0	3	2	1	1	1	14	16	9	31	0	0	0	0	0	0	0	0	0	14	10	21	8	2	1	0	1	2	81	75	76	9	3	2	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c0_g1_i4.p2	9	5	7	13	7	13	8	0	1	3	0	2	2	21	24	13	7	1	0	3	2	1	0	1	0	0	17	21	26	5	3	2	4	2	1	66	68	88	4	4	4	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c0_g1_i5.p3	2	3	2	3	3	3	4	0	3	1	1	4	4	10	7	1	7	0	0	3	4	0	0	0	0	0	3	10	11	7	2	1	0	2	1	29	27	24	2	4	6	1	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c0_g1_i6.p1	7	4	7	4	7	8	7	0	0	3	1	1	1	13	13	9	16	0	0	0	0	0	0	0	0	0	8	10	15	9	0	2	0	0	2	59	36	43	6	2	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c0_g3_i1.p3	20	23	17	22	25	27	14	20	14	15	22	20	7	58	55	58	68	3	13	3	5	9	4	8	3	1	39	35	39	23	22	18	22	18	4	1742	1924	1836	203	25	17	25	23	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c0_g3_i12.p4	26	26	20	24	25	18	23	19	5	13	14	13	5	71	88	76	87	1	4	8	5	6	4	5	4	2	76	65	65	44	213	229	256	231	84	27	30	36	3	4	5	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TRINITY_DN0_c0_g3_i14.p3	12	15	10	6	6	12	8	10	8	4	4	2	2	31	18	20	25	1	5	1	4	5	4	6	4	5	6	21	20	11	12	9	11	9	2	40	43	42	4	1397	1454	1512	1360	620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c0_g3_i8.p3	17	12	7	13	13	19	7	17	14	14	19	21	9	43	34	46	42	1	12	2	4	8	7	7	5	1	19	21	30	9	21	12	20	14	3	6025	6351	6091	642	20	18	18	17	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c0_g4_i7.p1	12	5	4	1	2	0	4	4	0	1	1	2	0	8	4	5	3	1	0	0	1	0	0	1	1	0	7	8	10	7	5	1	1	4	0	4	5	18	0	1	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
