gene,count
IGFBP3,16
COL6A1,16
C1S,16
COL1A1,16
IGF2,16
EPHA2,16
COL3A1,15
CCL20,15
DCN,15
COL1A2,15
SLC34A2,14
CXCL14,14
PAH,13
THY1,13
EHHADH,13
LUM,13
KRT15,12
MYLK,12
AOX1,12
HSPG2,12
ALOX15B,11
KRT14,11
PARVA,11
CFH,11
FZD1,11
PDGFRB,11
NOTCH3,11
PDGFRA,11
PTPRF,11
DDIT4,10
DMXL2,10
SHANK3,10
INHBB,10
KCNMB1,10
GHR,10
BACE2,10
MMP9,9
DMGDH,9
FBN1,9
KIT,9
LIFR,9
B4GALNT3,9
PRKAA2,9
SYNPO,9
EPHB4,9
P2RX6,9
DRD1,9
FGFR1,9
HPN,8
SLC27A6,8
TNC,8
HSPB2,8
OCLN,8
CCL28,8
CTSL,8
CSF3,8
PTHLH,8
CLDN20,8
CXCL12,8
ENTPD2,8
NTN1,8
GPX8,8
COL6A3,8
BMP3,7
KRT24,7
APCDD1,7
CHRM4,7
P4HA3,7
IGSF5,7
COL6A2,7
KRT18,7
HYAL2,7
GNG11,7
IL6,7
PTGDS,7
MICALL2,7
FLT4,7
RGMA,7
GPAM,7
NR3C2,7
SCN5A,6
PPARGC1A,6
SCNN1A,6
BTC,6
CSN2,6
AMOTL2,6
SFRP1,6
SLIT3,6
PPP1R1B,6
ENPP3,6
HOXA9,6
TRIP6,6
CCL19,6
PLA2G5,6
LGR6,6
LAMA4,6
MARVELD3,6
CYP11A1,6
LTBP1,6
CLDN8,6
RASAL1,6
DNAH11,6
MME,5
PGS1,5
SERPINF2,5
FGFR2,5
AMOTL1,5
FZD7,5
KRT17,5
CCL21,5
PLCE1,5
BICD1,5
CARD10,5
TNNT2,5
GCGR,5
C1R,5
TAT,5
HTR2A,5
MMP24,5
GALNTL5,5
IL33,5
TEAD1,5
LAMC2,5
IL13,4
CXCL10,4
NKX3-1,4
EPHB3,4
ANPEP,4
C3,4
SMO,4
ROBO2,4
EFNA4,4
LPAR3,4
CCL26,4
HSD3B1,4
GPT,4
CGNL1,4
MID1,4
ALDOB,4
CBLC,4
PTGFR,4
ATP12A,4
MMP7,4
SLC2A4,4
MAPK4,4
SOX4,4
PBX1,4
PROS1,4
HOXA10,4
SIX4,4
DLL1,4
LCN2,4
TEAD4,4
COL4A1,4
LBP,4
PIGR,4
ACTG2,4
BDH1,4
TF,4
LRRC4,4
FGFR3,4
PTGES,4
NUMB,4
C7,4
MSTN,4
NEFH,4
ELF5,4
CNGA3,3
EFNA1,3
CGN,3
VCAM1,3
IDH1,3
FABP3,3
GALNT5,3
YAP1,3
CLDN3,3
LPAR1,3
YES1,3
PIM1,3
CSAD,3
IL1RAP,3
KIF5C,3
