ID,count
ENSBTAG00000011802,16
ENSBTAG00000004840,16
ENSBTAG00000013066,16
ENSBTAG00000003994,16
ENSBTAG00000000815,16
ENSBTAG00000013103,16
ENSBTAG00000021326,15
ENSBTAG00000021466,15
ENSBTAG00000013472,15
ENSBTAG00000003505,15
ENSBTAG00000001545,14
ENSBTAG00000006694,14
ENSBTAG00000019627,13
ENSBTAG00000001745,13
ENSBTAG00000019625,13
ENSBTAG00000012794,13
ENSBTAG00000017122,12
ENSBTAG00000014567,12
ENSBTAG00000004903,12
ENSBTAG00000009725,12
ENSBTAG00000007583,11
ENSBTAG00000002107,11
ENSBTAG00000008779,11
ENSBTAG00000023177,11
ENSBTAG00000002804,11
ENSBTAG00000043971,11
ENSBTAG00000007173,11
ENSBTAG00000000700,11
ENSBTAG00000000253,11
ENSBTAG00000000737,10
ENSBTAG00000002985,10
ENSBTAG00000049058,10
ENSBTAG00000000163,10
ENSBTAG00000000394,10
ENSBTAG00000030180,10
ENSBTAG00000001335,10
ENSBTAG00000008553,9
ENSBTAG00000015457,9
ENSBTAG00000003446,9
ENSBTAG00000010423,9
ENSBTAG00000047719,9
ENSBTAG00000018747,9
ENSBTAG00000002699,9
ENSBTAG00000019244,9
ENSBTAG00000020676,9
ENSBTAG00000002278,9
ENSBTAG00000013744,9
ENSBTAG00000002110,9
ENSBTAG00000000575,8
ENSBTAG00000001557,8
ENSBTAG00000003829,8
ENSBTAG00000000720,8
ENSBTAG00000004860,8
ENSBTAG00000000561,8
ENSBTAG00000000440,8
ENSBTAG00000012137,8
ENSBTAG00000006538,8
ENSBTAG00000048125,8
ENSBTAG00000005077,8
ENSBTAG00000046726,8
ENSBTAG00000021960,8
ENSBTAG00000021462,8
ENSBTAG00000030190,8
ENSBTAG00000006579,7
ENSBTAG00000000484,7
ENSBTAG00000005154,7
ENSBTAG00000003049,7
ENSBTAG00000014921,7
ENSBTAG00000011917,7
ENSBTAG00000015074,7
ENSBTAG00000000820,7
ENSBTAG00000001462,7
ENSBTAG00000017642,7
ENSBTAG00000001517,7
ENSBTAG00000018603,7
ENSBTAG00000027182,7
ENSBTAG00000019269,7
ENSBTAG00000033699,7
ENSBTAG00000002029,7
ENSBTAG00000040279,7
ENSBTAG00000004789,6
ENSBTAG00000027625,6
ENSBTAG00000009155,6
ENSBTAG00000019839,6
ENSBTAG00000008817,6
ENSBTAG00000006035,6
ENSBTAG00000039122,6
ENSBTAG00000002631,6
ENSBTAG00000000742,6
ENSBTAG00000017746,6
ENSBTAG00000024772,6
