TRINITY_DN100879_c0_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3E05EC	Staphylococcus aureus
TRINITY_DN10566_c0_g1_i23.p1	reverse transcriptase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001156E2DE	Staphylococcus aureus
TRINITY_DN11074_c5_g2_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000EC6EB46	Staphylococcus aureus
TRINITY_DN1162_c5_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3E9016	Staphylococcus aureus
TRINITY_DN1228_c1_g1_i1.p2	reverse transcriptase family protein n=2 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI0011580997	Staphylococcus aureus
TRINITY_DN12385_c0_g1_i2.p1	reverse transcriptase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001157EA0A	Staphylococcus aureus
TRINITY_DN133187_c0_g1_i1.p1	2-hydroxyacid dehydrogenase n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI0002477884	Staphylococcus aureus
TRINITY_DN13602_c0_g1_i3.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001158639F	Staphylococcus aureus
TRINITY_DN136303_c0_g1_i1.p1	reverse transcriptase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI0011591AE5	Staphylococcus aureus
TRINITY_DN13917_c2_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3D0A40	Staphylococcus aureus
TRINITY_DN14072_c0_g1_i5.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3E59CE	Staphylococcus aureus
TRINITY_DN14505_c8_g1_i6.p2	reverse transcriptase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001158B102	Staphylococcus aureus
TRINITY_DN15308_c1_g1_i6.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3D0A40	Staphylococcus aureus
TRINITY_DN1537_c0_g1_i6.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3E9016	Staphylococcus aureus
TRINITY_DN16723_c1_g1_i11.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI00053B47F2	Staphylococcus aureus
TRINITY_DN16723_c1_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI00053B47F2	Staphylococcus aureus
TRINITY_DN167572_c0_g1_i1.p1	formate C-acetyltransferase n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000D1B80EC	Staphylococcus aureus
TRINITY_DN1679_c0_g1_i2.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001157D390	Staphylococcus aureus
TRINITY_DN16_c49_g1_i6.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000EC6EB46	Staphylococcus aureus
TRINITY_DN17177_c2_g1_i2.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3E9016	Staphylococcus aureus
TRINITY_DN179549_c0_g1_i1.p1	multidrug transporter n=2 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI0005EBD247	Staphylococcus aureus
TRINITY_DN18707_c0_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001159B1B4	Staphylococcus aureus
TRINITY_DN18707_c0_g1_i2.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000EC6EB46	Staphylococcus aureus
TRINITY_DN18707_c1_g1_i4.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000EC6EB46	Staphylococcus aureus
TRINITY_DN19335_c0_g1_i3.p2	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI0011590587	Staphylococcus aureus
TRINITY_DN2025_c0_g1_i28.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001158929D	Staphylococcus aureus
TRINITY_DN2025_c34_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001158929D	Staphylococcus aureus
TRINITY_DN2270_c49_g1_i1.p1	endonuclease/exonuclease/phosphatase family protein n=2 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3C3652	Staphylococcus aureus
TRINITY_DN23077_c0_g1_i2.p2	endonuclease/exonuclease/phosphatase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3B6F33	Staphylococcus aureus
TRINITY_DN250_c3_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3DAB05	Staphylococcus aureus
TRINITY_DN25543_c1_g1_i2.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI0011586654	Staphylococcus aureus
TRINITY_DN25543_c1_g1_i7.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3BA54F	Staphylococcus aureus
TRINITY_DN263917_c0_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001057F4D2	Staphylococcus aureus
TRINITY_DN29060_c0_g2_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI00115A4976	Staphylococcus aureus
TRINITY_DN29209_c3_g1_i2.p2	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000ED7D670	Staphylococcus aureus
TRINITY_DN29447_c0_g1_i1.p2	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001157A3FB	Staphylococcus aureus
TRINITY_DN2985_c16_g1_i2.p1	reverse transcriptase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI00115943A6	Staphylococcus aureus
TRINITY_DN2_c0_g1_i29.p1	hypothetical protein n=2 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001156E9BB	Staphylococcus aureus
TRINITY_DN2_c0_g3_i3.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3E9016	Staphylococcus aureus
TRINITY_DN2_c10_g1_i35.p1	reverse transcriptase family protein n=3 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI0011570AD1	Staphylococcus aureus
TRINITY_DN2_c1209_g1_i1.p1	endonuclease/exonuclease/phosphatase family protein n=2 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3C3652	Staphylococcus aureus
TRINITY_DN2_c214_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3E9016	Staphylococcus aureus
TRINITY_DN2_c21_g1_i10.p1	reverse transcriptase family protein n=2 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI0011580997	Staphylococcus aureus
TRINITY_DN2_c21_g1_i7.p1	reverse transcriptase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001157EA0A	Staphylococcus aureus
TRINITY_DN2_c273_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3E9016	Staphylococcus aureus
TRINITY_DN2_c28_g1_i16.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3E9016	Staphylococcus aureus
