From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology (cellular component)
A0A2T4CLQ3	A0A2T4CLQ3	unreviewed	A0A2T4CLQ3_9GAMM	Uncharacterized protein	C9986_02800	Pseudidiomarina aestuarii	115					
A0A317BW49	A0A317BW49		A0A317BW49_STEMA	deleted								
A0A2B1QA11	A0A2B1QA11		A0A2B1QA11_9BACI	deleted								
A0A3N9PIG3	A0A3N9PIG3		A0A3N9PIG3_9RHOB	deleted								
A0A2E3K791	A0A2E3K791	unreviewed	A0A2E3K791_9PROT	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	sucD CMM44_07100	Rhodospirillaceae bacterium	291	GO:0000166; GO:0004775; GO:0004776; GO:0006099; GO:0009361	nucleotide binding [GO:0000166]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]; succinate-CoA ligase (GDP-forming) activity [GO:0004776]	succinate-CoA ligase complex (ADP-forming) [GO:0009361]; nucleotide binding [GO:0000166]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]; succinate-CoA ligase (GDP-forming) activity [GO:0004776]; tricarboxylic acid cycle [GO:0006099]	tricarboxylic acid cycle [GO:0006099]	succinate-CoA ligase complex (ADP-forming) [GO:0009361]
A0A1E4W1H5	A0A1E4W1H5		A0A1E4W1H5_9PSED	deleted								
A0A0U0WWF1	A0A0U0WWF1		A0A0U0WWF1_CHLTH	deleted								
A0A1X6RM79	A0A1X6RM79		A0A1X6RM79_CHLAO	deleted								
A0A0Q3Q4L3	A0A0Q3Q4L3	unreviewed	A0A0Q3Q4L3_9BACI	Uncharacterized protein	AN959_20480	Psychrobacillus sp. FJAT-21963	166					
A0A4S1M2S6	A0A4S1M2S6	unreviewed	A0A4S1M2S6_UNCXX	Reverse transcriptase domain-containing protein	EIL50_05430	bacterium NHP-B	104					
C2E5F2	C2E5F2	unreviewed	C2E5F2_LACJH	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno HMPREF0528_0976	Lactobacillus johnsonii ATCC 33200	432	GO:0000015; GO:0000287; GO:0004634; GO:0005576; GO:0006096; GO:0009986	magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]	glycolytic process [GO:0006096]	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]
A0A1H1UZY5	A0A1H1UZY5	unreviewed	A0A1H1UZY5_9PSED	Uncharacterized protein	SAMN05216222_2259	Pseudomonas prosekii	341					
A0A1H1L1B3	A0A1H1L1B3		A0A1H1L1B3_9PSED	deleted								
A0A1X6RMA8	A0A1X6RMA8		A0A1X6RMA8_CHLAO	deleted								
A0A109L276	A0A109L276	unreviewed	A0A109L276_PSEFL	Flagellar hook protein FlgE	flgE C7A10_28680 PFLmoz3_05679	Pseudomonas fluorescens	438	GO:0005829; GO:0009424; GO:0009425; GO:0071978		bacterial-type flagellum basal body [GO:0009425]; bacterial-type flagellum hook [GO:0009424]; cytosol [GO:0005829]; bacterial-type flagellum-dependent swarming motility [GO:0071978]	bacterial-type flagellum-dependent swarming motility [GO:0071978]	bacterial-type flagellum basal body [GO:0009425]; bacterial-type flagellum hook [GO:0009424]; cytosol [GO:0005829]
A0A3B8KED1	A0A3B8KED1		A0A3B8KED1_PSESP	deleted								
A0A4V2GKG8	A0A4V2GKG8		A0A4V2GKG8_9GAMM	deleted								
W2DZT9	W2DZT9	unreviewed	W2DZT9_9PSED	Heavy metal efflux pump CzcA	H096_05557	Pseudomonas sp. FH1	1047	GO:0005886; GO:0008324; GO:0042910	monoatomic cation transmembrane transporter activity [GO:0008324]; xenobiotic transmembrane transporter activity [GO:0042910]	plasma membrane [GO:0005886]; monoatomic cation transmembrane transporter activity [GO:0008324]; xenobiotic transmembrane transporter activity [GO:0042910]		plasma membrane [GO:0005886]
A0A3E1HZX6	A0A3E1HZX6	unreviewed	A0A3E1HZX6_9PSED	Carbon-nitrogen hydrolase family protein	CER19_06235	Pseudomonas sp. GL93	376	GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]		
A0A0C5KTH4	A0A0C5KTH4	unreviewed	A0A0C5KTH4_LACHE	Chaperone protein	dnaK	Lactobacillus helveticus (Lactobacillus suntoryeus)	162	GO:0005524; GO:0140662	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]		
A0A377DZN7	A0A377DZN7	unreviewed	A0A377DZN7_ECOLX	Aspartate ammonia-lyase (EC 4.3.1.1)	aspA_1 NCTC8500_05099	Escherichia coli	161	GO:0005829; GO:0006531; GO:0008797	aspartate ammonia-lyase activity [GO:0008797]	cytosol [GO:0005829]; aspartate ammonia-lyase activity [GO:0008797]; aspartate metabolic process [GO:0006531]	aspartate metabolic process [GO:0006531]	cytosol [GO:0005829]
A0A2S9ESC3	A0A2S9ESC3	unreviewed	A0A2S9ESC3_9PSED	Twitching motility protein PilT	CQZ99_13210	Pseudomonas poae	315	GO:0005524; GO:0016887	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]		
A0A2T4RNY1	A0A2T4RNY1		A0A2T4RNY1_MAMSC	deleted								
A0A3M3BJW2	A0A3M3BJW2		A0A3M3BJW2_PSESX	deleted								
A0A377BSB0	A0A377BSB0	unreviewed	A0A377BSB0_ECOLX	Tryptophanase (EC 4.1.99.1)	tnaA_1 NCTC10429_00503	Escherichia coli	369	GO:0009034	tryptophanase activity [GO:0009034]	tryptophanase activity [GO:0009034]		
C2E6V9	C2E6V9	unreviewed	C2E6V9_LACJH	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno HMPREF0528_1483	Lactobacillus johnsonii ATCC 33200	428	GO:0000015; GO:0000287; GO:0004634; GO:0005576; GO:0006096; GO:0009986	magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]	glycolytic process [GO:0006096]	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]
F4T4M6	F4T4M6	unreviewed	F4T4M6_ECOLX	Uncharacterized protein	ECIG_02583	Escherichia coli M605	291					
A0A0J6C2L2	A0A0J6C2L2	unreviewed	A0A0J6C2L2_9BACT	Uncharacterized protein	ACM15_27395	Parabacteroides goldsteinii	116					
A0A4U3GLC0	A0A4U3GLC0		A0A4U3GLC0_PSEFL	deleted								
A0A145XMY9	A0A145XMY9		A0A145XMY9_9PSED	deleted								
A0A3M3JXJ0	A0A3M3JXJ0		A0A3M3JXJ0_PSESG	deleted								
A0A5F1G5Z0	A0A5F1G5Z0		A0A5F1G5Z0_9ESCH	deleted								
