# Program:featureCounts v2.0.0; Command:"featureCounts" "-T" "30" "-t" "CDS" "-g" "transcript_id" "-s" "0" "-p" "-M" "-a" "./trinity_out_dir.Trinity.fasta.transdecoder.gtf" "-o" "NwOut-fc.txt" "SRR9602334UnmappedAligned.sortedByCoord.out.bam" "SRR9602335UnmappedAligned.sortedByCoord.out.bam" "SRR9602336UnmappedAligned.sortedByCoord.out.bam" "SRR9602337UnmappedAligned.sortedByCoord.out.bam" "SRR9602338UnmappedAligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR9602334UnmappedAligned.sortedByCoord.out.bam	SRR9602335UnmappedAligned.sortedByCoord.out.bam	SRR9602336UnmappedAligned.sortedByCoord.out.bam	SRR9602337UnmappedAligned.sortedByCoord.out.bam	SRR9602338UnmappedAligned.sortedByCoord.out.bam
TRINITY_DN0_c0_g1_i10.p1	TRINITY_DN0_c0_g1_i10	258	1370	-	1113	252	362	382	971	760
TRINITY_DN0_c0_g1_i12.p1	TRINITY_DN0_c0_g1_i12	1073	3127	+	2055	80	271	241	18	112
TRINITY_DN0_c0_g1_i18.p1	TRINITY_DN0_c0_g1_i18	548	1777	-	1230	205	224	215	470	377
TRINITY_DN0_c0_g1_i24.p1	TRINITY_DN0_c0_g1_i24	167	1162	-	996	240	359	375	968	755
TRINITY_DN0_c0_g1_i28.p1	TRINITY_DN0_c0_g1_i28	167	1162	-	996	240	359	375	968	755
TRINITY_DN0_c0_g1_i37.p2	TRINITY_DN0_c0_g1_i37	13	261	+	249	0	0	0	0	2
TRINITY_DN0_c1234_g1_i1.p1	TRINITY_DN0_c1234_g1_i1	31	216	-	186	0	0	0	0	0
TRINITY_DN0_c12_g1_i11.p2	TRINITY_DN0_c12_g1_i11	214	414	-	201	0	0	0	0	0
TRINITY_DN0_c12_g1_i14.p2	TRINITY_DN0_c12_g1_i14	107	307	-	201	6	24	25	32	29
TRINITY_DN0_c12_g1_i17.p2	TRINITY_DN0_c12_g1_i17	215	415	-	201	0	0	0	0	0
TRINITY_DN0_c1320_g1_i1.p1	TRINITY_DN0_c1320_g1_i1	2	181	+	180	0	3	0	0	0
TRINITY_DN0_c13_g1_i1.p1	TRINITY_DN0_c13_g1_i1	1	273	+	273	0	0	0	0	0
TRINITY_DN0_c1467_g1_i1.p3	TRINITY_DN0_c1467_g1_i1	48	236	-	189	0	0	0	0	0
TRINITY_DN0_c1494_g1_i1.p3	TRINITY_DN0_c1494_g1_i1	3	209	+	207	0	0	0	0	0
TRINITY_DN0_c1542_g1_i1.p1	TRINITY_DN0_c1542_g1_i1	1	204	+	204	0	0	2	1	2
TRINITY_DN0_c1_g1_i1.p1	TRINITY_DN0_c1_g1_i1	2	202	+	201	5	7	4	16	13
TRINITY_DN0_c1_g1_i106.p1	TRINITY_DN0_c1_g1_i106	265	1761	+	1497	298	359	405	654	625
TRINITY_DN0_c1_g1_i107.p1	TRINITY_DN0_c1_g1_i107	977	3595	-	2619	2331	2342	3257	2137	2883
TRINITY_DN0_c1_g1_i107.p2	TRINITY_DN0_c1_g1_i107	3647	4573	-	927	0	0	0	0	0
TRINITY_DN0_c1_g1_i112.p1	TRINITY_DN0_c1_g1_i112	204	485	+	282	0	4	1	14	7
TRINITY_DN0_c1_g1_i2.p1	TRINITY_DN0_c1_g1_i2	1015	3633	-	2619	2310	2281	3193	2077	2814
TRINITY_DN0_c1_g1_i2.p2	TRINITY_DN0_c1_g1_i2	3685	4611	-	927	0	0	0	0	0
TRINITY_DN0_c1_g1_i27.p1	TRINITY_DN0_c1_g1_i27	2	2737	-	2736	4108	4027	6113	3853	5429
TRINITY_DN0_c1_g1_i27.p2	TRINITY_DN0_c1_g1_i27	2789	3715	-	927	0	0	0	0	0
TRINITY_DN0_c1_g1_i32.p1	TRINITY_DN0_c1_g1_i32	265	1197	+	933	72	74	106	124	132
TRINITY_DN0_c1_g1_i44.p1	TRINITY_DN0_c1_g1_i44	1	381	+	381	11	15	13	48	40
TRINITY_DN0_c1_g1_i46.p1	TRINITY_DN0_c1_g1_i46	1	381	+	381	8	12	20	38	41
TRINITY_DN0_c1_g1_i58.p1	TRINITY_DN0_c1_g1_i58	1	381	+	381	5	9	13	35	21
TRINITY_DN0_c1_g1_i67.p1	TRINITY_DN0_c1_g1_i67	1	858	+	858	161	210	206	356	319
TRINITY_DN0_c1_g1_i77.p1	TRINITY_DN0_c1_g1_i77	822	3440	-	2619	2617	2673	3746	2432	3378
TRINITY_DN0_c1_g1_i77.p2	TRINITY_DN0_c1_g1_i77	3492	4418	-	927	0	0	0	0	0
TRINITY_DN0_c1_g1_i81.p1	TRINITY_DN0_c1_g1_i81	1717	4335	-	2619	1497	1226	1873	1264	1579
TRINITY_DN0_c1_g1_i81.p2	TRINITY_DN0_c1_g1_i81	4387	5313	-	927	0	0	0	0	0
TRINITY_DN0_c1_g1_i83.p1	TRINITY_DN0_c1_g1_i83	68	1045	+	978	227	308	311	554	519
TRINITY_DN0_c248_g2_i2.p1	TRINITY_DN0_c248_g2_i2	1	234	+	234	37	61	80	195	137
TRINITY_DN0_c24_g1_i2.p3	TRINITY_DN0_c24_g1_i2	107	337	+	231	0	1	1	0	2
TRINITY_DN0_c272_g1_i1.p2	TRINITY_DN0_c272_g1_i1	518	748	-	231	0	0	0	0	0
TRINITY_DN0_c295_g1_i1.p1	TRINITY_DN0_c295_g1_i1	2	250	-	249	0	0	0	0	0
TRINITY_DN0_c430_g1_i4.p3	TRINITY_DN0_c430_g1_i4	1	243	+	243	0	0	2	1	2
TRINITY_DN0_c430_g1_i6.p3	TRINITY_DN0_c430_g1_i6	1	243	+	243	4	4	6	4	6
TRINITY_DN0_c45_g4_i1.p1	TRINITY_DN0_c45_g4_i1	2	805	+	804	137	198	166	392	276
TRINITY_DN0_c517_g1_i1.p1	TRINITY_DN0_c517_g1_i1	140	340	-	201	5	18	21	68	47
TRINITY_DN0_c545_g1_i1.p2	TRINITY_DN0_c545_g1_i1	27	290	-	264	0	0	3	1	1
TRINITY_DN0_c547_g1_i1.p1	TRINITY_DN0_c547_g1_i1	30	248	-	219	22	23	63	126	117
TRINITY_DN0_c628_g1_i1.p1	TRINITY_DN0_c628_g1_i1	2	205	-	204	0	2	0	0	0
TRINITY_DN0_c64_g1_i2.p1	TRINITY_DN0_c64_g1_i2	204	605	-	402	37	35	44	117	94
TRINITY_DN0_c64_g1_i3.p1	TRINITY_DN0_c64_g1_i3	3	194	-	192	0	0	0	0	0
TRINITY_DN0_c64_g1_i5.p1	TRINITY_DN0_c64_g1_i5	1	351	-	351	0	3	5	17	10
TRINITY_DN0_c650_g1_i1.p1	TRINITY_DN0_c650_g1_i1	3	227	-	225	2	0	0	3	1
TRINITY_DN0_c748_g1_i1.p2	TRINITY_DN0_c748_g1_i1	26	205	-	180	0	0	0	1	1
TRINITY_DN0_c79_g1_i1.p1	TRINITY_DN0_c79_g1_i1	2	217	+	216	0	2	2	7	3
TRINITY_DN0_c960_g1_i1.p1	TRINITY_DN0_c960_g1_i1	2	196	+	195	0	0	0	0	0
TRINITY_DN10006_c0_g1_i1.p1	TRINITY_DN10006_c0_g1_i1	3	344	-	342	9	0	0	0	0
TRINITY_DN10018_c0_g1_i1.p2	TRINITY_DN10018_c0_g1_i1	3	224	-	222	0	0	0	0	0
TRINITY_DN10027_c0_g1_i1.p1	TRINITY_DN10027_c0_g1_i1	3	572	+	570	10	0	0	0	0
TRINITY_DN10027_c0_g1_i1.p3	TRINITY_DN10027_c0_g1_i1	611	1003	+	393	0	0	0	0	0
TRINITY_DN10028_c0_g1_i1.p1	TRINITY_DN10028_c0_g1_i1	1	306	+	306	2	0	0	0	0
TRINITY_DN10028_c0_g1_i2.p1	TRINITY_DN10028_c0_g1_i2	1	306	+	306	4	0	0	0	0
TRINITY_DN10030_c0_g1_i1.p1	TRINITY_DN10030_c0_g1_i1	2	340	+	339	0	0	2	0	0
TRINITY_DN10037_c0_g1_i1.p1	TRINITY_DN10037_c0_g1_i1	2	208	-	207	0	3	0	0	0
TRINITY_DN10056_c1_g1_i1.p1	TRINITY_DN10056_c1_g1_i1	1	255	-	255	7	0	0	0	0
TRINITY_DN10057_c0_g1_i1.p2	TRINITY_DN10057_c0_g1_i1	1	381	-	381	1	2	0	1	0
TRINITY_DN1005_c0_g1_i1.p1	TRINITY_DN1005_c0_g1_i1	3	695	-	693	0	0	2	2	0
TRINITY_DN10068_c0_g1_i2.p3	TRINITY_DN10068_c0_g1_i2	389	568	+	180	0	0	0	0	0
TRINITY_DN10069_c0_g1_i2.p1	TRINITY_DN10069_c0_g1_i2	2	367	-	366	0	0	3	0	0
TRINITY_DN10069_c0_g1_i4.p2	TRINITY_DN10069_c0_g1_i4	2	214	-	213	0	0	0	0	0
TRINITY_DN10071_c0_g1_i1.p3	TRINITY_DN10071_c0_g1_i1	68	397	-	330	0	0	0	0	1
TRINITY_DN10072_c0_g1_i1.p1	TRINITY_DN10072_c0_g1_i1	1	846	+	846	8	0	0	0	1
TRINITY_DN10074_c0_g1_i1.p2	TRINITY_DN10074_c0_g1_i1	83	889	+	807	10	1	0	0	1
TRINITY_DN10076_c0_g1_i2.p4	TRINITY_DN10076_c0_g1_i2	559	762	-	204	0	0	0	0	0
TRINITY_DN10080_c0_g1_i1.p1	TRINITY_DN10080_c0_g1_i1	3	206	+	204	0	0	0	0	1
TRINITY_DN10091_c0_g1_i1.p3	TRINITY_DN10091_c0_g1_i1	3	218	+	216	0	0	0	0	0
TRINITY_DN10094_c0_g1_i1.p2	TRINITY_DN10094_c0_g1_i1	3	422	+	420	0	0	1	2	0
TRINITY_DN10096_c0_g1_i1.p2	TRINITY_DN10096_c0_g1_i1	3	236	+	234	4	0	0	0	0
TRINITY_DN10100_c0_g1_i1.p3	TRINITY_DN10100_c0_g1_i1	293	547	-	255	0	0	0	0	0
TRINITY_DN10100_c0_g1_i1.p4	TRINITY_DN10100_c0_g1_i1	1	240	+	240	2	2	0	0	2
TRINITY_DN10103_c1_g1_i1.p3	TRINITY_DN10103_c1_g1_i1	154	366	-	213	0	1	0	0	0
TRINITY_DN10106_c0_g1_i1.p2	TRINITY_DN10106_c0_g1_i1	1	231	-	231	0	0	0	0	0
TRINITY_DN10110_c0_g1_i1.p1	TRINITY_DN10110_c0_g1_i1	2	556	+	555	4	0	1	2	3
TRINITY_DN10111_c0_g1_i1.p2	TRINITY_DN10111_c0_g1_i1	3	467	-	465	5	0	0	0	0
TRINITY_DN10111_c0_g2_i1.p3	TRINITY_DN10111_c0_g2_i1	1	294	-	294	2	1	0	0	0
TRINITY_DN10123_c0_g1_i1.p2	TRINITY_DN10123_c0_g1_i1	1	351	+	351	6	0	1	0	1
TRINITY_DN10123_c0_g1_i3.p2	TRINITY_DN10123_c0_g1_i3	3	371	-	369	0	0	0	0	0
TRINITY_DN10125_c0_g1_i1.p1	TRINITY_DN10125_c0_g1_i1	3	683	-	681	11	0	0	2	0
TRINITY_DN10125_c0_g1_i1.p4	TRINITY_DN10125_c0_g1_i1	640	1197	-	558	0	0	0	0	0
TRINITY_DN10129_c0_g1_i1.p1	TRINITY_DN10129_c0_g1_i1	3	863	-	861	8	2	0	3	0
TRINITY_DN1012_c0_g1_i1.p2	TRINITY_DN1012_c0_g1_i1	3	197	+	195	0	0	0	0	0
TRINITY_DN1013_c0_g1_i1.p2	TRINITY_DN1013_c0_g1_i1	2	370	-	369	4	1	0	4	0
TRINITY_DN10142_c0_g1_i1.p3	TRINITY_DN10142_c0_g1_i1	3	329	-	327	4	0	0	0	0
TRINITY_DN10142_c0_g1_i2.p1	TRINITY_DN10142_c0_g1_i2	3	578	-	576	5	2	0	0	0
TRINITY_DN10155_c0_g1_i1.p2	TRINITY_DN10155_c0_g1_i1	1	360	+	360	6	0	0	0	0
TRINITY_DN10159_c0_g1_i1.p1	TRINITY_DN10159_c0_g1_i1	85	537	-	453	2	2	0	1	5
TRINITY_DN10160_c0_g1_i1.p1	TRINITY_DN10160_c0_g1_i1	1	375	-	375	5	0	0	0	0
TRINITY_DN10165_c0_g1_i1.p1	TRINITY_DN10165_c0_g1_i1	3	1124	+	1122	9	1	2	0	1
TRINITY_DN10168_c0_g1_i1.p2	TRINITY_DN10168_c0_g1_i1	2	463	-	462	5	0	0	0	1
TRINITY_DN10179_c0_g1_i1.p1	TRINITY_DN10179_c0_g1_i1	3	332	-	330	5	0	1	0	0
TRINITY_DN10185_c0_g1_i1.p3	TRINITY_DN10185_c0_g1_i1	2	427	+	426	9	0	0	0	0
TRINITY_DN10185_c1_g1_i1.p4	TRINITY_DN10185_c1_g1_i1	40	246	-	207	0	0	0	2	0
TRINITY_DN10186_c0_g1_i1.p2	TRINITY_DN10186_c0_g1_i1	3	377	-	375	1	2	0	0	2
TRINITY_DN10187_c0_g1_i1.p2	TRINITY_DN10187_c0_g1_i1	12	278	+	267	0	2	2	0	0
TRINITY_DN101_c0_g1_i1.p1	TRINITY_DN101_c0_g1_i1	111	560	-	450	13	0	0	2049	0
TRINITY_DN101_c0_g1_i2.p1	TRINITY_DN101_c0_g1_i2	112	561	-	450	13	0	0	2049	0
TRINITY_DN10202_c0_g1_i1.p1	TRINITY_DN10202_c0_g1_i1	3	497	+	495	6	0	0	0	0
TRINITY_DN1020_c0_g1_i1.p1	TRINITY_DN1020_c0_g1_i1	70	294	+	225	7	2	3	0	7
TRINITY_DN10212_c0_g1_i1.p2	TRINITY_DN10212_c0_g1_i1	48	413	-	366	5	0	0	0	0
TRINITY_DN10224_c0_g1_i1.p1	TRINITY_DN10224_c0_g1_i1	488	985	-	498	0	1	0	0	0
TRINITY_DN10226_c0_g1_i1.p2	TRINITY_DN10226_c0_g1_i1	2	832	+	831	8	2	0	0	0
TRINITY_DN10238_c1_g1_i1.p1	TRINITY_DN10238_c1_g1_i1	1	234	-	234	0	0	2	0	0
TRINITY_DN10239_c0_g1_i1.p1	TRINITY_DN10239_c0_g1_i1	2	913	+	912	13	0	1	2	0
TRINITY_DN1023_c0_g1_i1.p1	TRINITY_DN1023_c0_g1_i1	2	664	+	663	9	0	0	0	0
TRINITY_DN10240_c0_g1_i2.p2	TRINITY_DN10240_c0_g1_i2	201	509	+	309	0	0	0	0	0
TRINITY_DN10241_c0_g1_i1.p3	TRINITY_DN10241_c0_g1_i1	3	269	-	267	1	0	0	0	0
TRINITY_DN10243_c0_g1_i1.p1	TRINITY_DN10243_c0_g1_i1	1	252	+	252	6	0	0	1	0
TRINITY_DN10245_c0_g1_i2.p1	TRINITY_DN10245_c0_g1_i2	1	591	+	591	6	0	0	3	1
TRINITY_DN10246_c0_g1_i1.p1	TRINITY_DN10246_c0_g1_i1	66	497	+	432	0	2	1	2	3
TRINITY_DN10247_c0_g1_i1.p1	TRINITY_DN10247_c0_g1_i1	321	857	-	537	0	2	0	0	0
TRINITY_DN10248_c0_g1_i1.p5	TRINITY_DN10248_c0_g1_i1	182	409	-	228	0	0	0	0	0
TRINITY_DN10250_c0_g1_i1.p2	TRINITY_DN10250_c0_g1_i1	3	260	+	258	5	0	0	0	0
TRINITY_DN10251_c0_g1_i1.p3	TRINITY_DN10251_c0_g1_i1	68	286	-	219	8	0	0	2	0
TRINITY_DN10254_c0_g1_i1.p1	TRINITY_DN10254_c0_g1_i1	3	449	-	447	0	0	0	1	0
TRINITY_DN10254_c0_g1_i2.p2	TRINITY_DN10254_c0_g1_i2	213	710	-	498	1	2	1	3	0
TRINITY_DN10254_c0_g1_i2.p6	TRINITY_DN10254_c0_g1_i2	3	188	-	186	0	0	0	2	0
TRINITY_DN10257_c0_g1_i1.p2	TRINITY_DN10257_c0_g1_i1	41	355	+	315	5	0	0	0	0
TRINITY_DN10263_c0_g1_i1.p2	TRINITY_DN10263_c0_g1_i1	2	436	-	435	7	0	0	0	0
TRINITY_DN10267_c0_g1_i1.p1	TRINITY_DN10267_c0_g1_i1	3	221	+	219	5	0	0	0	0
TRINITY_DN10268_c0_g1_i1.p2	TRINITY_DN10268_c0_g1_i1	1	246	-	246	0	0	0	0	0
TRINITY_DN10269_c0_g1_i1.p1	TRINITY_DN10269_c0_g1_i1	3	326	+	324	0	0	0	3	0
TRINITY_DN10269_c0_g1_i2.p1	TRINITY_DN10269_c0_g1_i2	3	413	+	411	3	0	0	5	0
TRINITY_DN10274_c0_g1_i2.p1	TRINITY_DN10274_c0_g1_i2	182	445	-	264	2	0	1	0	0
TRINITY_DN10275_c0_g1_i1.p3	TRINITY_DN10275_c0_g1_i1	55	261	-	207	0	0	1	0	0
TRINITY_DN10276_c0_g1_i1.p2	TRINITY_DN10276_c0_g1_i1	1	282	-	282	0	0	0	1	0
TRINITY_DN10279_c0_g1_i1.p1	TRINITY_DN10279_c0_g1_i1	3	437	+	435	5	0	0	0	1
TRINITY_DN10281_c0_g1_i1.p2	TRINITY_DN10281_c0_g1_i1	2	232	+	231	0	0	0	0	0
TRINITY_DN10281_c1_g1_i1.p2	TRINITY_DN10281_c1_g1_i1	2	250	+	249	2	0	0	0	0
TRINITY_DN10283_c0_g1_i1.p3	TRINITY_DN10283_c0_g1_i1	3	332	-	330	4	0	0	0	0
TRINITY_DN10288_c0_g1_i1.p1	TRINITY_DN10288_c0_g1_i1	2	370	-	369	1	1	0	0	0
TRINITY_DN10291_c0_g1_i1.p2	TRINITY_DN10291_c0_g1_i1	2	982	+	981	12	1	0	0	0
TRINITY_DN10292_c0_g1_i1.p1	TRINITY_DN10292_c0_g1_i1	3	491	+	489	6	0	0	1	0
TRINITY_DN10295_c0_g1_i1.p1	TRINITY_DN10295_c0_g1_i1	1	216	-	216	0	0	0	0	2
TRINITY_DN10295_c0_g1_i2.p3	TRINITY_DN10295_c0_g1_i2	59	250	+	192	0	0	1	0	0
TRINITY_DN10296_c1_g1_i1.p2	TRINITY_DN10296_c1_g1_i1	3	233	-	231	0	0	0	0	0
TRINITY_DN10298_c0_g1_i1.p1	TRINITY_DN10298_c0_g1_i1	3	401	-	399	1	0	0	0	5
TRINITY_DN10299_c0_g1_i1.p1	TRINITY_DN10299_c0_g1_i1	3	341	+	339	6	0	0	0	0
TRINITY_DN102_c0_g1_i5.p2	TRINITY_DN102_c0_g1_i5	3	203	-	201	12	3	7	3	2
TRINITY_DN10304_c0_g1_i1.p1	TRINITY_DN10304_c0_g1_i1	2	211	+	210	0	0	0	0	3
TRINITY_DN10319_c0_g1_i1.p1	TRINITY_DN10319_c0_g1_i1	3	485	-	483	9	1	0	0	0
TRINITY_DN10324_c0_g1_i1.p1	TRINITY_DN10324_c0_g1_i1	3	422	-	420	5	0	0	0	0
TRINITY_DN10325_c0_g1_i1.p1	TRINITY_DN10325_c0_g1_i1	1	309	+	309	0	2	0	2	1
TRINITY_DN10326_c0_g1_i1.p2	TRINITY_DN10326_c0_g1_i1	50	385	-	336	3	0	0	0	0
TRINITY_DN10326_c0_g2_i1.p1	TRINITY_DN10326_c0_g2_i1	3	293	+	291	1	0	0	0	0
TRINITY_DN10337_c0_g1_i1.p2	TRINITY_DN10337_c0_g1_i1	2	265	-	264	2	0	0	0	0
TRINITY_DN10340_c0_g1_i1.p1	TRINITY_DN10340_c0_g1_i1	3	401	-	399	9	0	0	0	0
TRINITY_DN10340_c0_g1_i1.p5	TRINITY_DN10340_c0_g1_i1	442	654	-	213	0	0	0	0	0
TRINITY_DN10340_c0_g2_i1.p1	TRINITY_DN10340_c0_g2_i1	1	243	+	243	3	0	0	0	0
TRINITY_DN10342_c0_g1_i1.p3	TRINITY_DN10342_c0_g1_i1	63	356	-	294	0	0	0	0	2
TRINITY_DN10346_c0_g1_i1.p2	TRINITY_DN10346_c0_g1_i1	74	322	-	249	0	0	0	0	0
TRINITY_DN10347_c0_g1_i1.p4	TRINITY_DN10347_c0_g1_i1	35	259	-	225	0	0	5	0	2
TRINITY_DN10348_c0_g1_i1.p1	TRINITY_DN10348_c0_g1_i1	99	956	-	858	20	2	1	2	2
TRINITY_DN10350_c0_g1_i1.p3	TRINITY_DN10350_c0_g1_i1	3	323	+	321	0	0	0	2	1
TRINITY_DN10359_c0_g1_i1.p2	TRINITY_DN10359_c0_g1_i1	3	431	-	429	1	0	3	2	1
TRINITY_DN1035_c0_g1_i1.p3	TRINITY_DN1035_c0_g1_i1	2	178	-	177	2	1	3	0	2
TRINITY_DN10360_c0_g1_i1.p2	TRINITY_DN10360_c0_g1_i1	3	251	-	249	1	0	0	0	0
TRINITY_DN10362_c0_g1_i1.p2	TRINITY_DN10362_c0_g1_i1	1	264	-	264	0	0	0	3	0
TRINITY_DN10365_c0_g1_i3.p1	TRINITY_DN10365_c0_g1_i3	1	312	+	312	0	0	0	2	0
TRINITY_DN10367_c0_g1_i1.p1	TRINITY_DN10367_c0_g1_i1	1	357	+	357	9	0	0	0	0
TRINITY_DN10369_c0_g1_i1.p2	TRINITY_DN10369_c0_g1_i1	3	332	+	330	2	3	1	0	1
TRINITY_DN10369_c0_g1_i2.p2	TRINITY_DN10369_c0_g1_i2	3	269	+	267	0	0	2	0	0
TRINITY_DN10370_c10_g1_i1.p1	TRINITY_DN10370_c10_g1_i1	3	257	+	255	0	1	1	3	6
TRINITY_DN10370_c1_g1_i1.p1	TRINITY_DN10370_c1_g1_i1	3	239	-	237	0	0	3	1	1
TRINITY_DN10370_c1_g1_i3.p1	TRINITY_DN10370_c1_g1_i3	3	296	-	294	3	27	16	24	21
TRINITY_DN10370_c1_g1_i4.p1	TRINITY_DN10370_c1_g1_i4	3	296	-	294	1	11	17	12	13
TRINITY_DN10370_c5_g1_i7.p1	TRINITY_DN10370_c5_g1_i7	1	243	+	243	32	42	71	119	107
TRINITY_DN10376_c0_g1_i1.p1	TRINITY_DN10376_c0_g1_i1	1	210	+	210	0	0	1	0	0
